Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
U02115	625951	UNIQUE	AQM003	UNKNOWN U02115, BP 689.55916, RT 6.2685				297336	1111008	1088144	1087079	2093659	306981	1041997	446119	2754655		967124	1110590	428671	1792741	2488250	3383620	1336183	677575			2974973	716379	642736		680847	821842	922822			841601	14466422	33729251	17912613	14052019	7332315	1411439
U02131	625797	UNIQUE	AQM003	UNKNOWN U02131, BP 634.53843, RT 4.5685	37744	13358													20280																								
U02142	624992	UNIQUE	AQM003	UNKNOWN U02142, BP 378.90009, RT .439	164405	133193	399298	224373	273238	209709	255946	252133	242496	161919	196264	256265		238039	205508	280400	228242	264298	260876	185978	272330	332018	261579	275463	312564	317001	249774	179143	164836	281738		206622	238273	143123	75282	50639	195717	127430	221092
U02156	743070	UNIQUE	AQM003	UNKNOWN U02156, BP 401.2491, RT 3.64735										105217	246605	213872										145377	126339	163598					59693	200343					87412				
U02189	625820	UNIQUE	AQM003	UNKNOWN U02189, BP 643.52861, RT 7.5505	3418500		34554				8625091		1921118	6448880	94771	5858064			313648		48884	730697	695943		32300			3318339	50112	126853	36332		540241	57551		80908	55040	47156	152100		36062	56205	236554
U02192	624390	UNIQUE	AQM003	UNKNOWN U02192, BP 282.20411, RT 3.572														713510	716710				347470	378421	319670				277199							799512	376974				87755	94663	27999
U02193	624391	UNIQUE	AQM003	UNKNOWN U02193, BP 282.28043, RT 3.8185										123358	445718				398528	521437	54425		64758	508271			305303	228135	163750	125096				324037					199526	214359	158243	69289	
U02219	624402	UNIQUE	AQM003	UNKNOWN U02219, BP 283.17557, RT 2.919	5019244	5884049	4538543	4534038	4106234	6670619	6644283	4319899	4943414	4600265	5999419	5038383		3065433	5858425	3855942	4194047	5404812	4403885	5686181	4605027	6222241	3801113	3913691	4541931	5274143	21699198	4615150	6322393	5304172		6583329	4502449	2636178	3558072	2612082	3156986	4224360	4111459
U02227	743141	UNIQUE	AQM003	UNKNOWN U02227, BP 525.37215, RT 4.51834	1069039	1415270	61645	275541	545869	977033	413241	538628	890889	1680938	671604	1505953		638802	1135285	878330	2355245	1322406	1259907	1331452	1137232	663275	845316	896591	580736	99759		584102	802583	739625		473416	1552962	1314906	9642291	3283076	21227852	2457635	287474
U02236	624410	UNIQUE	AQM003	UNKNOWN U02236, BP 284.15086, RT 2.4295																37658		22678									250146						480160				42835		63246
