Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
U27846	779540	UNIQUE	AQM004	UNKNOWN 27846 BP 475.11636, RT 3.60744		28972	317411													61909		341192	40563																				
U27851	779545	UNIQUE	AQM004	UNKNOWN 27851 BP 813.53924, RT 3.62059																110805	160901	35996		100137																			
U27870	779564	UNIQUE	AQM004	UNKNOWN 27870 BP 331.26746, RT 3.72113	2124895	6130695	9129447				3347835	211818	5558878	363640	1909594	5714999	2805463	5368764	4096821	7172088	3904420	7657619	5668186			6371695	929755	2968259	6284636		1041471	854489	1822885	1764426	907424	16223678	3050273	29042861	36509451		96103601		150875410
U27872	779566	UNIQUE	AQM004	UNKNOWN 27872 BP 476.28016, RT 3.68812	189477	183253	332472	281955	277223	197950	224748	379732		157794		562310	387690	496869	442609				1025399	649072																			
U27873	779567	UNIQUE	AQM004	UNKNOWN 27873 BP 325.27381, RT 3.74402																						418310		316944					1097007					477623	630168				
U27880	779574	UNIQUE	AQM004	UNKNOWN 27880 BP 655.4243, RT 4.28936	134701		295220				37976	131986		37783	110809	55941													132634	40009	38363				98734	334946	77754				169624	174744	417408
U27886	779580	UNIQUE	AQM004	UNKNOWN 27886 BP 221.12965, RT 2.61063	33336	84397											106973	48329	53370				21455	88562																			
U27908	779602	UNIQUE	AQM004	UNKNOWN 27908 BP 381.20792, RT 3.58551					1881344	3509419	824524	759117	2107746	1166917	1110251	1027796																											
U27917	779611	UNIQUE	AQM004	UNKNOWN 27917 BP 697.41857, RT 3.0722		58103	215655													39086		171257				246126	195207		203976	223089	12209			29387	89109	174652		35977	54106			27733	375680
U27923	779617	UNIQUE	AQM004	UNKNOWN 27923 BP 765.52833, RT 3.10118																				28092																			
U27936	779630	UNIQUE	AQM004	UNKNOWN 27936 BP 627.34304, RT 2.72457													17981		18309																								
U27946	779640	UNIQUE	AQM004	UNKNOWN 27946 BP 1421.88551, RT 4.06456	34985	39822											43293		60874					58648																			
U27953	779647	UNIQUE	AQM004	UNKNOWN 27953 BP 829.55769, RT 3.21596	44397		44336								57093	32294				70366		47963																					
U28011	779705	UNIQUE	AQM004	UNKNOWN 28011 BP 917.65531, RT 3.32949				55059	85557					32516	68330								43282	48239																			
U28013	779707	UNIQUE	AQM004	UNKNOWN 28013 BP 929.55126, RT 3.34812																				58698																			
U28030	779724	UNIQUE	AQM004	UNKNOWN 28030 BP 547.40322, RT 6.94897							42662	126330	183875				198458		236731					310972				122577				387418	525131	372968				555260		114663			
U28032	779726	UNIQUE	AQM004	UNKNOWN 28032 BP 477.20288, RT 7.10311					22734	94860				42599		41903	26519	21751	68772	26078	133901	37983	105610	55033		24295	51445	317912	153507	159823	346656	41654	132983	56541	377920	128342	201510	830651	885635	743090	556321	419271	667560
U28043	779737	UNIQUE	AQM004	UNKNOWN 28043 BP 241.14495, RT 2.65569													13391	9134																									
U28045	779739	UNIQUE	AQM004	UNKNOWN 28045 BP 590.3015, RT 2.64767																	18628	22285																					
U28054	779748	UNIQUE	AQM004	UNKNOWN 28054 BP 613.32804, RT 2.69774				36933		46061														23958																			
U28055	779749	UNIQUE	AQM004	UNKNOWN 28055 BP 469.286, RT 2.67769							20620		18090											31657																			
U28064	779758	UNIQUE	AQM004	UNKNOWN 28064 BP 238.07868, RT 2.49521										212168		157166							75292																				
U28075	779769	UNIQUE	AQM004	UNKNOWN 28075 BP 999.62744, RT 3.69739							83817	131105								78689		150159																					
U28088	779782	UNIQUE	AQM004	UNKNOWN 28088 BP 311.2207, RT 2.68177								31447	25309											16510		33008		28256				21534		29756				56698	40257	59325			
U28104	779798	UNIQUE	AQM004	UNKNOWN 28104 BP 94.98203, RT 2.74982				43392		34132	20463	27407	17871	43977		46330	47142	19272	59045	22044	36483			28672		19721	57179	24030	42454	28176		38213	28502	54410			36996	20489	15982		48419		26743
U28117	779811	UNIQUE	AQM004	UNKNOWN 28117 BP 593.45152, RT 6.37236																							62503	30579					38805	25573						193518			
U28180	779874	UNIQUE	AQM004	UNKNOWN 28180 BP 738.51095, RT 6.1588										393493		189396				115808	322439	929152	277996	276887																			
U28222	779916	UNIQUE	AQM004	UNKNOWN 28222 BP 284.26246, RT 4.56413				33326	38628			117584	35859				21163	184983		28404		197152	25820	42521																			
U28237	779931	UNIQUE	AQM004	UNKNOWN 28237 BP 514.93528, RT .53651				207512	172975		155514	196999	113067	143821		119518		140502	196361					186962		240160	287505		224703	275280	481968	132696	230136	146201		28518		374076	219065	324030	297754	267781	308871
U28254	779948	UNIQUE	AQM004	UNKNOWN 28254 BP 630.49052, RT 5.60031																				39652																			
U28262	779956	UNIQUE	AQM004	UNKNOWN 28262 BP 656.18309, RT 5.43022										34036	18376											25969				56605	19160			41793	39396			23817	62470	124884	18944	73962	65684
U28273	779967	UNIQUE	AQM004	UNKNOWN 28273 BP 915.60489, RT 7.28974	771782	873837	517820	969877	1453927	876004	1474709	417743	559464	332736	347585	820953	383999	409121	397363	201768	317743	288495		414933					272368		201158				656631	714533	496426					183974	
U28277	779971	UNIQUE	AQM004	UNKNOWN 28277 BP 722.51908, RT 7.44711					1284091	1230090										561033	1119311						1414514	3205141	2470215	2187718	1986739			1633546	76655	811781	966212	4339105		2203386	4152895		
U28299	779993	UNIQUE	AQM004	UNKNOWN 28299 BP 477.20308, RT 6.90782	99842		32443		22898	89912	35531	20236		45728		46198	25552	32274	97887		135478	95519	158518	86826		27333	56770	317454	169573	160456	147116		105647	194555		126534		698910	628145	688484	538701	601455	675828
U28301	779995	UNIQUE	AQM004	UNKNOWN 28301 BP 812.55018, RT 6.87181																			1964174																				
U28315	780009	UNIQUE	AQM004	UNKNOWN 28315 BP 354.34007, RT 6.35423																34725	57693	30570		56651																			
U28333	780027	UNIQUE	AQM004	UNKNOWN 28333 BP 669.44487, RT 4.11953								302422	277313				235086		129422							503985	178399	119485				102799	555510	197304									
U28364	780058	UNIQUE	AQM004	UNKNOWN 28364 BP 439.34356, RT 3.85788														174497	15678																								
U28370	780064	UNIQUE	AQM004	UNKNOWN 28370 BP 1216.81531, RT 4.43645	115528		124197																																				
U28372	780066	UNIQUE	AQM004	UNKNOWN 28372 BP 1192.81598, RT 4.49713													27643		27201					38789																			
U28413	780107	UNIQUE	AQM004	UNKNOWN 28413 BP 849.29086, RT 3.51187																				35390																			
U28425	780119	UNIQUE	AQM004	UNKNOWN 28425 BP 333.19255, RT 3.43506	4271631	8721880	4069256	6376004	3786777	8872666	5836962		13355372	3871172	11963333	13708149	4530755	5300034	5653051	5733192	4119762	8578219	4647273	10936961		3901684	5023704	4063476	4496772	5590506	5465979	13168034	3969485	6642135	10303625	14360121	7190112	7804445		6208786	10467892	6406877	
U28428	780122	UNIQUE	AQM004	UNKNOWN 28428 BP 407.35318, RT 4.34687	482150		724451	261355	178371		175354	239748	94130	247158	184836	186186	203156	769237	147743	222259	299514		348417	291960		367859		335556	154992	188437	221744	217193	497397	239972	319315	354844	237431	369276	180438	595886	454258	491280	1362620
U28439	780133	UNIQUE	AQM004	UNKNOWN 28439 BP 375.2196, RT 3.63643	788407	709704		794406	1212939								226860	895264	300842	642304	613592																						
U28457	780151	UNIQUE	AQM004	UNKNOWN 28457 BP 539.07556, RT 3.72211		166482	537546								35033	171345		370238	42413		27923	472156	74158																				
U28474	780168	UNIQUE	AQM004	UNKNOWN 28474 BP 738.51239, RT 5.63183																33559	184172		568234	163655																			
U28486	780180	UNIQUE	AQM004	UNKNOWN 28486 BP 653.30552, RT 3.94541																			634409																				
U28495	780189	UNIQUE	AQM004	UNKNOWN 28495 BP 373.31543, RT 4.6688	130382	109174	4619547		178406	137024	127117		73673					697763	85260	106797	82920								104799	165910	64552						306618				129621		
U28510	780204	UNIQUE	AQM004	UNKNOWN 28510 BP 385.17197, RT 3.36574													1084929	417279	717057	617488		383069																					
U28532	780226	UNIQUE	AQM004	UNKNOWN 28532 BP 235.13799, RT 3.52669					898692	1084353	62293	987646	961760	800473	687030		143790	1035593		767286	526446		201006			623356	139361					155185		130378				151307	187469				
U28563	780257	UNIQUE	AQM004	UNKNOWN 28563 BP 593.48231, RT 4.17411																	31502	49883		48995																			
U28584	780278	UNIQUE	AQM004	UNKNOWN 28584 BP 439.38147, RT 5.68691							54579	186895		57452		91057	60916		23359		72145	300735	206729	81482					69901	81940	104521				112791	87674	46258				293846	146143	312985
U28603	780297	UNIQUE	AQM004	UNKNOWN 28603 BP 441.33853, RT 5.35387		26223	44597																																				
U28615	780309	UNIQUE	AQM004	UNKNOWN 28615 BP 1344.75296, RT 5.25106																				45329																			
U28624	780318	UNIQUE	AQM004	UNKNOWN 28624 BP 555.44535, RT 4.13071																				48639																			
U28644	780338	UNIQUE	AQM004	UNKNOWN 28644 BP 747.76059, RT 7.01963										325078		243970														137171	87023				104158		206114						11645456
U28652	780346	UNIQUE	AQM004	UNKNOWN 28652 BP 722.5183, RT 6.53473																	1099294	3053787		1040997																			
U28723	780417	UNIQUE	AQM004	UNKNOWN 28723 BP 748.53354, RT 7.12915	6513769	2471558		751566		2246939	1599713		2768769	4065282	1579693	3962724	1204522		3729253	1389083	7102523	7709629	11525943	4403331				21428633	6342301	3218578	4920137	2345701	6237639	2595956	9303979	5180519	3762571	62318698	75034995	54971072	248986889	97774863	71179878
U28741	780435	UNIQUE	AQM004	UNKNOWN 28741 BP 223.09684, RT 2.80673							14318		65710				10059	21984	19142																								
U28758	780452	UNIQUE	AQM004	UNKNOWN 28758 BP 473.23441, RT 3.89841																				1892541																			
U28766	780460	UNIQUE	AQM004	UNKNOWN 28766 BP 337.31281, RT 5.38879				24927	29851														397087																				
U28767	780461	UNIQUE	AQM004	UNKNOWN 28767 BP 713.27233, RT 5.41019										34881	24923															35052							36700				39381	16540	19361
U28801	780495	UNIQUE	AQM004	UNKNOWN 28801 BP 562.52428, RT 7.27842				102041	193036																																		
U28810	780504	UNIQUE	AQM004	UNKNOWN 28810 BP 621.51082, RT 4.34606																			19389																				
U28824	780518	UNIQUE	AQM004	UNKNOWN 28824 BP 536.50874, RT 6.22613	45927		47927																117305							143295	197446				117384	79212	121875					81127	
U28827	780521	UNIQUE	AQM004	UNKNOWN 28827 BP 480.44524, RT 7.38572							128595		119905								134700	111940							211643	330005	214693						151480					373101	199536
U28952	780646	UNIQUE	AQM004	UNKNOWN 28952 BP 660.4377, RT 6.29254																			5715207					4575186	3903426	4208619	5285994			4291284				15452363	11266193	13874912	16720314	12796322	15927256
M00034	727634	UNIQUE	AQM003	UNKNOWN M00034 (M+H), BP 86.09733, RT 1.382	133970096	136511558	94482321	113779080	108641517	114597111	103911232	109678940	136783854	184356605	126372791	112274010		124942244	135220754	110822540	127360074	116481560	117222526	118558773	113651792	113168343	118824634	124730960	104566627	103317942	116428851	120715405	182904209	125870986		135613663	126646992	126697022	142107315	102734416	120063270	121028788	114180439
M00037	629493	UNIQUE	AQM003	UNKNOWN M00037 (M+H), BP 204.42589, RT .82																										22028											364601	350189	439148
M00038	727656	UNIQUE	AQM003	UNKNOWN M00038 (M+H), BP 91.11339, RT 1.382	17508599	10046351	26863383	21773014	22519496	18010308	25348670	24219979	26843529	17283226	16215398	24594921		22994537	16098025	23751536	22969544	21462921	22619702	22778916	23030760	24604716	22615625	18141534	23348601	22177070	20321360	14409133	47714290	19405305		9794275	22304763	15573972	13880126	8207080	18385438	16174506	21150442
M00040	728851	UNIQUE	AQM003	UNKNOWN M00040 (M+H), BP 807.63361, RT 6.321							120110	1354382												13067	23031																		
M00041	728592	UNIQUE	AQM003	UNKNOWN M00041 (M+H), BP 812.61538, RT 5.9105				4646134	2132992		261538		609350						2304511		3067715	3153395																					
M00042	728268	UNIQUE	AQM003	UNKNOWN M00042 (M+H), BP 858.5969, RT 5.584	885189		7269604																293479		87964																		
M00043	743400	UNIQUE	AQM003	UNKNOWN M00043 (M+H), BP 832.58548, RT 4.736														817021						139380	955838				90546							4769028	141091				374089		
M00044	728758	UNIQUE	AQM003	UNKNOWN M00044 (M+H), BP 902.58389, RT 5.875							12560	102988			25524	21336																											
M00045	743604	UNIQUE	AQM003	UNKNOWN M00045 (M+H), BP 133.10416, RT 1.419	51573173	60443433	28801630	33663946	31358647	41133572	30212148	31594449	31552706	42924635	42082626	30661348		38419152	47312068	33230725	37674857	35841952	37671640	38013709	35951363	25286349	27697844	32405815	30720220	30746958	36476257	48320666	42716662	36285764		50954184	40329026	29718971	32628072	58326830	40628009	42816266	36908997
M00046	634941	UNIQUE	AQM003	UNKNOWN M00046 (M+H), BP 806.57086, RT 6.816	3568338	989220	854604		816298	1466426	404022	730700	601683	1348517	569583	603087			2054888	586681	4366292	3567321	5397809	2293282		1198927	3767589	11119145	982711	1230709	2493402	761103	5532811	1174969		648182		14825337	9515140	20046446	18649204	14838512	9816565
M00047	727528	UNIQUE	AQM003	UNKNOWN M00047 (M+H), BP 72.08222, RT .714	63089859	69755866	38311857	47471161	45031947	52098914	44127246	45067978	45871330	59627654	57213320	45555647		51713032	62417199	45472244	52942056	47578185	51060044	48956118	44738207	33680138	43571352	47329521	38844048	38640491	50109084	61708171	60380149	52596965		61982993	50863506	49784863	37594395	75275078	58290445	60166988	62954734
M00048	728326	UNIQUE	AQM003	UNKNOWN M00048 (M+H), BP 876.56868, RT 5.397	38122	149632	1753315																																				
M00050	634997	UNIQUE	AQM003	UNKNOWN M00050 (M+H), BP 812.60314, RT 5.9935														2850168	2044395	463880	105934					78604	105528					945052	582669							2038568			
M00055	762362	UNIQUE	AQM003	UNKNOWN M00055 (M+H), BP 387.20449, RT 2.772					136653	160637				84184		220208			77656	157633	116534	262605	157251	237861	277424				239332	233477	193316					125294					175161	130429	
M00056	728561	UNIQUE	AQM003	UNKNOWN M00056 (2M+H), BP 739.51479, RT 6.119				48614		43643	90574		32258	29950	83119			45658	49675	41167	57591			89268	66558	50049	55444		76518		10238	149981	60303	71107			71469	107704	61820	342432	266534	40905	41558
M00057	727472	PRIMARY_NOT_UNIQUE	AQM003	UNKNOWN M00057 (M+H), BP 300.90247, RT .394	345170	349645	285778	238738	280419	283201	256466	287560	252660	324245	281851	299708		291534	335737	308287	321732	289784	312910	284197	279654	310473	361194	316102	249560	318704	265530	348294	300566	309309		309306	288197	241378	243458	240761	312830	405385	333422
M00057	624679	PRIMARY_NOT_UNIQUE	AQM003	UNKNOWN M00057 (M+Na), BP 322.88654, RT .4	344784	348880	285778	233862	282088	283165	256466	287560	249212	322326	279626	288695		288138	335650	308214	321230	289772	316735	283219	279570	312336	367217	316157	241157	323365	265524	347474	295650	310526		322439	286053	235931	229613	240566	313705	407856	334214
M00059	624788	UNIQUE	AQM003	UNKNOWN M00059 (M+H), BP 340.2643, RT 3.061	5207064	5526509	5354007	5103526	4752794	4859203	4960566	4561170	5597859	5676511	5239126	5217690		5359980	4925367	5408758	4610358	4290863	4649556	5232173	4821421	4378673	3668958	3445904	4311810	4227113	21476676	4802566	4436963	4322573		4532858	5165558	2763775	2503919	1833479	2999703	3065352	2407770
M00060	736124	PRIMARY_NOT_UNIQUE	AQM003	UNKNOWN M00060 (M+H), BP 341.19764, RT 4.73	127500	152889		137558	151541	179331	238650	104977	83046	205817	208926	177925		173653	171127	213227	194840	93293	86436	218053	214428	314553	281962	217917	315950			267711	157631	124741		158305	188229			472510	99439		
M00060	624918	PRIMARY_NOT_UNIQUE	AQM003	UNKNOWN M00060 (M+Na), BP 363.18269, RT 4.774	126386	172955		134248	132085	177133	289090	64309		206226	175307	145230		172114	157194	209566	315362	165198	167813	172019	142754	323104	90498	163067	310427	98074	17239	269521		258992		189999	131098				92858		
M00061	736525	UNIQUE	AQM003	UNKNOWN M00061 (M+H), BP 139.11248, RT 3.371										95702	144511	180824			123956																								
M00065	739968	UNIQUE	AQM003	UNKNOWN M00065 (M+H), BP 416.99991, RT .548																						23658	22338	58391											37887	88931			
M02169	741077	UNIQUE	AQM003	UNKNOWN M02169 (M+H), BP 806.15851, RT 6.716	58032	13030																																					
M02170	741084	UNIQUE	AQM003	UNKNOWN M02170 (M+H), BP 133.21083, RT 1.415	2795984	3490831	1346021	1667828	1513925	2152249	1442895	1505924	1524509	2252596	2155177	1455842		1893064	2515053	1651637	1903522	1771873	1933000	1892177	1843083	1166687	1318441	1531864	1464529	1436269	1841295	2574861	2220647	1867283		2865806	2112189	1430402	1566495	3133612	2098170	2256248	1823620
M02172	741208	UNIQUE	AQM003	UNKNOWN M02172 (M+H), BP 1201.33317, RT 4.6														41658			45146	46960																					
M02173	741286	UNIQUE	AQM003	UNKNOWN M02173 (M+H), BP 301.24324, RT 4.9		205105	74014	158876		199609	123974	81191	116626					156026	141079	111706	266849	91705	113306	150195	316077		113416	101731				108728	153780	188313						185043			
M02174	741292	UNIQUE	AQM003	UNKNOWN M02174 (M+H), BP 508.85592, RT .42	34491	21928	64779	42772	47642	43458	37088	57557	37928	38917	35660	43378		33296	31560	40211	38279	46003	43323	34576	36642	77219	48998	62471	24596	59715	44487	32967	33439	37402		41220	43302		58479	41536	46211	37384	77452
M02175	741432	UNIQUE	AQM003	UNKNOWN M02175 (M+H), BP 1042.22977, RT 4.125														18565																									
M02176	742190	UNIQUE	AQM003	UNKNOWN M02176 (M+H), BP 183.1106, RT 2.487				111412	73816	144327													72685	94153																			
M02180	626149	UNIQUE	AQM003	UNKNOWN M02180 (M+H), BP 755.03961, RT 6.712	453351	61945	159449		111032	149088	21515	37875	30761	174982	26623	127395		73372	218888	38986	929178	660599	1082582	774172	23657	311564	848121	1489362	617036	1265346	473309	593062	804781	723934		345417	1021311			1897089	1587292	1685864	
M02181	626381	UNIQUE	AQM003	UNKNOWN M02181 (M+H), BP 822.52632, RT 6.7																									1659849	1168245	747295					49961	1908304						
M02182	624202	UNIQUE	AQM003	UNKNOWN M02182 (M+H), BP 255.23233, RT 3.971	209011	312663	390276	224321	242157	474190	289044	283053	392487	66780	291457	337870		320596	2701165	370402	1589301	1653711	1188979	2391769	310408	322287	324610	237655	2165086	1348012	933052	349849	320084	283823		1801308	371715	432239	284692	219127	104616	643483	101104
M02184	626147	UNIQUE	AQM003	UNKNOWN M02184 (M+H), BP 754.77454, RT 6.708	168592	29382	91193		65220	101042				232851		78837		30848	109504		1612000	1314836	1729684	511799	79445	21176	1536604	2445683	2083353	1866911	511936	236028	1183778	1196033		1309727	1254481		292907	2891038	2253780	2704606	
M02187	626693	UNIQUE	AQM003	UNKNOWN M02187 (M+H), BP 1045.68725, RT 4.331	56220	79781													66142		81544	89390					57924		31344	80522		25906	67907	102284		29111	52578	64370		188325	1743630	941452	
M02188	626709	UNIQUE	AQM003	UNKNOWN M02188 (M+H), BP 1072.38309, RT 3.242		85654	168859																																				
M02189	624555	UNIQUE	AQM003	UNKNOWN M02189 (M+H), BP 303.33617, RT 3.198															25503				15084		34606																		
M02190	624556	UNIQUE	AQM003	UNKNOWN M02190 (M+H), BP 303.39228, RT 3.192																			20206		28998																		
M02192	625339	UNIQUE	AQM003	UNKNOWN M02192 (M+H), BP 476.30774, RT 3.074	9653347	12135129	9298016	9224030	8980898	12412192	9517855	9008079	13424339	9208244	9890288	10010755		9060515	8293326	9620137	8226883	10006667	8996459	9703484	11034102	8275644	8372509	7572469	8336094	8752385	67180978	9616389	8746440	8875874		11177389	11360813	7803549	6917543	6175666	7049031	8232445	6680954
M02193	626726	UNIQUE	AQM003	UNKNOWN M02193 (M+H), BP 1120.31363, RT 6.724															18011		225128	132241	380921	158067		37689	228567	976360	135530	267864	210419	118378	205475	166225		66488	199639			2741274	1913999	1545049	
M02194	624946	UNIQUE	AQM003	UNKNOWN M02194 (M+H), BP 369.35273, RT 6.939	2681608	1151075	1862044	1089258	3388193	1932967	1140193	984208	1594129	1756121	870635	1941571		633752	1618321	1660300	3849045	2911383	3606721	2298165	1777046	2844288	6699984	6297738	2732436	2175739	199193	4011434	5016645	2998759		2461078	3421831	6680076		6746925	7086077	6252642	
M12033	742545	UNIQUE	AQM003	UNKNOWN M02194 (M+H), BP 457.27685, RT 3.775	1523469	2307663	1787472	1713161	1712125	2246154	2110001	1445466	2353562	1193442	2075085	2089223		2069095	2018465	2426964	1640174	1313709	1316218	2451517	2128368	1932241	1514823	1181119	1997668	1529818	4283410	2215778	1793887	1918364		1682486	2269184	833972	727993	801619	731872	750150	451463
M02195	626727	UNIQUE	AQM003	UNKNOWN M02195 (M+H), BP 1120.81442, RT 6.72																	164893	119426	311511	168992			179942	958811	139103	195580	199946	107511	185127	140992		100912	167404			2481934	1758449	1420291	
M02199	625643	UNIQUE	AQM003	UNKNOWN M02199 (M+H), BP 585.3731, RT 2.666	268804	263369	263694	193602	231498	296922	244967	232533	215888	240820	218576	253937		242927	238652	236253	228976	251305	230723	279654	321937	239550	250575	235143	221011	13649	2234988	270943	245878	224248		273951	233516	243336	244559		287590	263681	
M02200	626846	UNIQUE	AQM003	UNKNOWN M02200 (M+H), BP 1453.54489, RT 3.5	75261		81625																																				
M02201	624955	UNIQUE	AQM003	UNKNOWN M02201 (M+H), BP 371.2871, RT .876				54176	36589	37199	47247	55841	65237	83155	47309	62362		91158	62745	45635	127966	69397	88080	42885	29885	104734	115275	68199	117623		114132	55104	111613	90400				41836	59680	28696	79426	76879	59682
M02202	624957	UNIQUE	AQM003	UNKNOWN M02202 (M+H), BP 372.25774, RT 3.157	158795	314472						145348	278689	187148	279413	320455			182894										174159							225640	293180				81654	108567	95285
M02203	624334	UNIQUE	AQM003	UNKNOWN M02203 (M+H), BP 272.94454, RT .418	620210	603029	606782	526538	541178	590523	565014	560074	568699	538655	572516	556508		614519	604198	661032	656451	623029	655359	611448	616746	614221	600115	625677	644572	672809	641537	604244	526654	668102		635407	647399	400963	333528	378260	452521	468321	462692
M02205	742662	UNIQUE	AQM003	UNKNOWN M02205 (M+H), BP 418.87678, RT .411	34107	26811	38866	39581	32635	37848	35249	35427	23356	22923	37291	27569		27176	32738	29024	31496	29936	39659	28616	26549	37518	48875	37864	37239	32117	33062		24683	30183		29739	36766	46819	46648	34993	48450	41954	47043
M02207	624964	UNIQUE	AQM003	UNKNOWN M02207 (M+H), BP 372.34769, RT 3.935	337657	362623	651977							59640	2313796				900771	397596	498816	586360	323017	701337	257757				942107	209945	369988					2589521	793901				193578	358375	
M02210	626872	UNIQUE	AQM003	UNKNOWN M02210 (M+H), BP 1478.12161, RT 7.416	136025		57982												103786	29888	197320	195239	282597	159302		98854	312337	859602	307232	330444		113254		179859		140659	136484			1742126	1575161	788360	
M02211	626873	UNIQUE	AQM003	UNKNOWN M02211 (M+H), BP 1486.58885, RT 6.694																			221336	48655			124538	443368	94983	230403	91129	36999	58926	34421			43116	1326656		1953563	1288711	851220	
M02212	626874	UNIQUE	AQM003	UNKNOWN M02212 (M+H), BP 1490.12185, RT 6.8														42420			436067	224351	448946	154781		75966	315871	2665355	461760	704182	191401	121256	299662	353163		195169	181510	8251683	17920970	5718435	6220747	2481292	1712476
M02213	625575	UNIQUE	AQM003	UNKNOWN M02213 (M+H), BP 556.85919, RT .43	112699	125113	162793	133295	141240	145277	144125	132668	138919	111962	140665	130904		128626	113958	143010	118549	122567	128200	121016	135245	117238	120231	107111	120374	131231	129698	115863	86072	137891		129800	132448				96223	83975	94713
M02215	625539	UNIQUE	AQM003	UNKNOWN M02215 (M+H), BP 550.62941, RT 5.505										17463	88363			52360	22053	59700		86817	132776		36026				61906	43576						148208	29598					32766	
M02216	624344	UNIQUE	AQM003	UNKNOWN M02216 (M+H), BP 275.11035, RT 2.796	625656	681532	766165		587710	1148839	713233	695960		573333		568960		586895	762970	649808	504532	712936	524784	703924	703982	382193	406641	584338	555705	541681	541828	697231	490034	692680		861287	597482	354440	410097	452638	529054	618050	703524
M02219	626679	UNIQUE	AQM003	UNKNOWN M02219 (M+H), BP 1026.48785, RT 6.732	27660		31720											27215			29927	65565																					
M02221	626683	UNIQUE	AQM003	UNKNOWN M02221 (M+H), BP 1028.39111, RT 3.498	57986	139767	65815											60501						88489	198911																		
M12035	742739	UNIQUE	AQM003	UNKNOWN M02221 (M+H), BP 820.5844, RT 4.53															42851																								
M02222	626684	UNIQUE	AQM003	UNKNOWN M02222 (M+H), BP 1028.89178, RT 3.496															74265																								
M02223	742765	UNIQUE	AQM003	UNKNOWN M02223 (M+H), BP 343.22006, RT .793															117341	309132	210333		74556	159451		70240	98989	147019	153124							98607	198941	46962	34928	63952	95542	21963	
M02224	742814	UNIQUE	AQM003	UNKNOWN M02224 (M+H), BP 391.22914, RT 2.714				58218	72659					68434		30900								31910	81969					57568	157373					34265	50502				132088		
M02225	742849	UNIQUE	AQM003	UNKNOWN M02225 (M+H), BP 740.46192, RT 3.188	982317	1744228	1191466	1247073	1190650	1591653	1447894	1232638	2205436	1317466	1331552	1573110		1282097	1163749				1241361	1317806	1566782	1100210	1127102	865898	1183646		3964980	1333976	1391523			1478601	1452422	757529	550648	676592	567875	644683	656050
M02226	742850	UNIQUE	AQM003	UNKNOWN M02226 (M+H), BP 253.11146, RT 3.228								54448	112028	240495	351176	372525		152276		576731	636068	166082	319757	1058154		1763529		341752	1326152	1026026				973118		781931	869951	294302	210166		64887	61086	148279
M02229	626545	UNIQUE	AQM003	UNKNOWN M02229 (M+H), BP 873.8417, RT 3.501		75725	30860							17132		11419																											
M02230	742928	UNIQUE	AQM003	UNKNOWN M02230 (M+H), BP 840.58982, RT 4.796															18361																								
M02233	625506	UNIQUE	AQM003	UNKNOWN M02233 (M+H), BP 534.33903, RT 4.368															73679	73101	81915	57560						32552		27244	111587	65112		83568					291970	280751	749948	479100	162309
M02234	742953	UNIQUE	AQM003	UNKNOWN M02234 (M+H), BP 641.5104, RT 6	1563715	145260												118305	319583	103702	268120	111680	301121	113806						27350						323145	128745				175833		300014
M02235	626748	UNIQUE	AQM003	UNKNOWN M02235 (M+H), BP 1166.43084, RT 3.5															139102					166536	90644																		
M02236	626750	UNIQUE	AQM003	UNKNOWN M02236 (M+H), BP 1168.93937, RT 3.4975											146617	21243			191166																								
M02239	626752	UNIQUE	AQM003	UNKNOWN M02239 (M+H), BP 1171.72648, RT 3.54														199255		169485	159198																						
M02240	626759	UNIQUE	AQM003	UNKNOWN M02240 (M+H), BP 1182.40435, RT 3.501											122193	28591		92623																									
M02243	743022	UNIQUE	AQM003	UNKNOWN M02243 (M+H), BP 758.92674, RT 3.338							86749	40379	42256	46669	44701			34379											47849	82390						70286	41659				50946		
M02244	743029	UNIQUE	AQM003	UNKNOWN M02244 (M+H), BP 802.9526, RT 3.348	175603	50316						24018	42742					63632	77125																								
M02245	743045	UNIQUE	AQM003	UNKNOWN M02245 (M+H), BP 463.27964, RT 3.447															57432																								
M02248	624398	UNIQUE	AQM003	UNKNOWN M02248 (M+H), BP 283.16788, RT .848	1044818	641627	401174	345447	335339		403214	343353	778902	235586	319820	800149		254964	744906	484848	977572	412763	366458	926670	862871	454211	394107	459552	472220	447184	331786		218334	378070		508561	958419	237617	221484	141241	816300	828895	148473
M02249	624400	UNIQUE	AQM003	UNKNOWN M02249 (M+H), BP 283.16878, RT .903	1144491	677701	1034786	781797	699955	700247	800247	773236	824146	861985	730289	842151		890044	787441	1040340	1040732	938334	968748	931573	921070	1045449	1182668	898174	1195769	1009478	977242	1064970	866026	1021628		516749	958858	539409	855841	818668	816295	828578	757728
M02250	626789	UNIQUE	AQM003	UNKNOWN M02250 (M+H), BP 1289.48181, RT 3.242	173669	307574	364157											236300					294444	291702	263451	146380		204960				103937						72366	149534	205358			
